"NAME","COMMON_NAME","VBA_CODE","DIVNAME","NA.","NA..1","NA..2","NA..3"
"Anthus novaeseelandiae","Australasian Pipit",10647,"Birds",-3.1,-6.1,1.8,2.9
"Ardeotis australis","Australian Bustard",10176,"Birds",-15.2,-30.8,-78.3,-22.4
"Falco longipennis","Australian Hobby",10235,"Birds",-5.8,-7.6,-1,14.3
"Alisterus scapularis","Australian King-Parrot",10281,"Birds",-12.8,-16.2,-31.2,23.5
"Gymnorhina tibicen","Australian Magpie",10705,"Birds",1.4,0.9,22.6,-1.3
"Aegotheles cristatus","Australian Owlet-nightjar",10317,"Birds",-8.5,-15.3,-33.9,9.7
"Corvus coronoides","Australian Raven",10930,"Birds",-11.5,-20.4,-46.6,12.8
"Alcedo azurea","Azure Kingfisher",10319,"Birds",-5.8,-7.5,-0.3,14.2
"Ninox connivens","Barking Owl",10246,"Birds",-11.3,-23.9,-52.2,8.3
"Zoothera lunulata","Bassian Thrush",10779,"Birds",-13.1,-17.6,-32.8,19.2
"Stagonopleura bella","Beautiful Firetail",10650,"Birds",0.8,1.4,16,1.5
"Manorina melanophrys","Bell Miner",10633,"Birds",-6.7,-8.8,0.1,16.8
"Monarcha melanopsis","Black-faced Monarch",10373,"Birds",-19.3,-24,-62.3,31
"Neophema chrysostoma","Blue-winged Parrot",10306,"Birds",-0.8,-1.9,-21.8,10.8
"Gerygone mouki","Brown Gerygone",10454,"Birds",-11.3,-14.4,-22.9,22.1
"Accipiter fasciatus","Brown Goshawk",10221,"Birds",-4.1,-5.3,-29.7,-1.5
"Acanthiza pusilla","Brown Thornbill",10475,"Birds",-4,-6.3,-8.7,7.4
"Melithreptus brevirostris","Brown-headed Honeyeater",10583,"Birds",2.5,8.3,27.8,4.8
"Phaps elegans","Brush Bronzewing",10035,"Birds",7,10.2,31.3,-8.7
"Cacomantis variolosus","Brush Cuckoo",10339,"Birds",-17.6,-21.8,-56.8,28
"Acanthiza reguloides","Buff-rumped Thornbill",10484,"Birds",-3.2,-9.6,-27.9,0.5
"Calamanthus pyrrhopygius","Chestnut-rumped Heathwren",10498,"Birds",3.7,8.1,43.2,1.1
"Accipiter cirrhocephalus","Collared Sparrowhawk",10222,"Birds",-10.7,-13.5,-22.6,20.2
"Phaps chalcoptera","Common Bronzewing",10034,"Birds",-0.2,-3.2,-6.9,-2.3
"Coracina tenuirostris","Common Cicadabird",10429,"Birds",-19.1,-23.8,-61.8,30.6
"Phylidonyris pyrrhoptera","Crescent Honeyeater",10630,"Birds",-5.1,-6.9,-4.8,14.9
"Falcunculus frontatus","Crested Shrike-tit",10416,"Birds",-14.1,-27.4,-66.8,13.4
"Platycercus elegans elegans","Crimson Rosella",10282,"Birds",-3.2,-5.2,-5.3,6
"Stagonopleura guttata","Diamond Firetail",10652,"Birds",-1.3,-4.4,-9.5,-0.3
"Eurystomus orientalis","Dollarbird",10318,"Birds",-0.4,-1.3,0,0
"Artamus cyanopterus","Dusky Woodswallow",10547,"Birds",33.4,80.7,198,-11.3
"Platycercus eximius","Eastern Rosella",10288,"Birds",-11.9,-27.2,-63.5,7.9
"Acanthorhynchus tenuirostris","Eastern Spinebill",10591,"Birds",-5.1,-7,-4.2,14.4
"Psophodes olivaceus","Eastern Whipbird",10421,"Birds",-9.9,-12.3,-16,20.5
"Eopsaltria australis","Eastern Yellow Robin",10392,"Birds",5.7,16.3,46.5,5.4
"Dromaius novaehollandiae","Emu",10001,"Birds",1.2,1,-4,-10.8
"Hirundo ariel","Fairy Martin",10360,"Birds",-2.8,-3.9,-20.3,-1
"Cacomantis flabelliformis","Fan-tailed Cuckoo",10338,"Birds",-7.1,-10.8,-18.5,11.3
"Petroica phoenicea","Flame Robin",10382,"Birds",9.5,18.4,152.2,-63.6
"Corvus tasmanicus","Forest Raven",10868,"Birds",-15.8,-20.1,-60.6,26.5
"Lichenostomus fuscus","Fuscous Honeyeater",10613,"Birds",-7.6,-12,-20.7,10
"Eolophus roseicapilla","Galah",10273,"Birds",-7.6,-13.3,-14.3,4.6
"Callocephalon fimbriatum","Gang-gang Cockatoo",10268,"Birds",-14.7,-18.8,-52.3,25.1
"Calyptorhynchus lathami","Glossy Black-Cockatoo",10265,"Birds",-14.8,-18.6,-40.1,26
"Pachycephala pectoralis","Golden Whistler",10398,"Birds",-8.1,-14.5,-25.5,10.6
"Cracticus torquatus","Grey Butcherbird",10702,"Birds",-12.1,-24.5,-53.9,10.7
"Strepera versicolor","Grey Currawong",10697,"Birds",-12.4,-25.3,-56,10.7
"Rhipidura albiscarpa","Grey Fantail",10361,"Birds",-1.7,-1.7,0.6,3.2
"Colluricincla harmonica","Grey Shrike-thrush",10408,"Birds",-7,-14.5,-28.2,7.5
"Pezoporus wallicus","Ground Parrot",10311,"Birds",14.9,31.2,75.3,25
"Melanodryas cucullata","Hooded Robin",10385,"Birds",-6.1,-11.9,-23.4,6.3
"Chrysococcyx basalis","Horsfield's Bronze-Cuckoo",10342,"Birds",-7.8,-11.6,-22.6,12.7
"Microeca fascinans","Jacky Winter",10377,"Birds",-7,-11.2,-20.7,10.1
"Sericornis magnirostris","Large-billed Scrubwren",10494,"Birds",-20.2,-25.1,-66.5,32.1
"Dacelo novaeguineae","Laughing Kookaburra",10322,"Birds",-5.4,-8.2,-12.7,8.6
"Myiagra rubecula","Leaden Flycatcher",10365,"Birds",-8.4,-12.5,-24.2,13.3
"Meliphaga lewinii","Lewin's Honeyeater",10605,"Birds",-6.7,-8.9,-1.2,16.6
"Cacatua sanguinea","Little Corella",10271,"Birds",-3.1,-6.1,1.8,2.9
"Hieraaetus morphnoides","Little Eagle",10225,"Birds",4.7,6.2,1.3,-12
